-100.0	7.414591690954507e-13	6.200922044772249e-13
-99.65094339622514	1.2843043426992235e-12	1.0745355509976265e-12
-99.3018867924503	2.2789973839124276e-12	1.9064817121028862e-12
-98.95283018867545	3.352993468610311e-12	2.8047845807801688e-12
-98.60377358490062	4.477345381871016e-12	3.745236024528462e-12
-98.25471698112577	5.650697598645697e-12	4.726947879545031e-12
-97.9056603773509	6.879626466393107e-12	5.755018737902482e-12
-97.55660377357606	8.173982711120057e-12	6.837370685700769e-12
-97.2075471698012	9.546111062949064e-12	7.98514359007128e-12
-96.85849056602636	1.1007906991081773e-11	9.208158979077216e-12
-96.50943396225152	1.2571636266415239e-11	1.0516609424850083e-11
-96.16037735847667	1.4251097638961082e-11	1.1921122130541596e-11
-95.81132075470182	1.606176624678725e-11	1.3435825073491664e-11
-95.46226415092697	1.801895814766193e-11	1.5073278948454084e-11
-95.11320754715214	2.0138615889347025e-11	1.6846764929819705e-11
-94.76415094337729	2.2445548965748167e-11	1.8776889185883807e-11
-94.41509433960245	2.4956476864840622e-11	2.0877078173815497e-11
-94.0660377358276	2.7692906014373043e-11	2.316667313466219e-11
-93.71698113205275	3.0681419507567074e-11	2.566698940475791e-11
-93.36792452827791	3.395089356317562e-11	2.840159632750098e-11
-93.01886792450307	3.7527360882773315e-11	3.139307824049307e-11
-92.66981132072823	4.144485927923963e-11	3.467077854705359e-11
-92.32075471695337	4.5736913478487146e-11	3.826120891548967e-11
-91.97169811317853	5.044115328349511e-11	4.219639150634003e-11
-91.62264150940369	5.559795442080332e-11	4.651020788552607e-11
-91.27358490562885	6.125904936592933e-11	5.124589190327198e-11
-90.92452830185401	6.74657213891955e-11	5.6438393428166454e-11
-90.57547169807916	7.428106315178609e-11	6.213958404897682e-11
-90.22641509430431	8.175385516501104e-11	6.839066774122767e-11
-89.87735849052947	8.995552295610731e-11	7.5251458624427e-11
-89.52830188675462	9.89577590982159e-11	8.278209670924504e-11
-89.17924528297978	1.0883843066566877e-10	9.104772462131337e-11
-88.83018867920494	1.196823813809516e-10	1.0011919730981849e-10
-88.48113207543008	1.3158248197808395e-10	1.100739716618519e-10
-88.13207547165526	1.446430077146911e-10	1.2099927328204404e-10
-87.7830188678804	1.5897866616320684e-10	1.329911995607069e-10
-87.43396226410556	1.7468901739343669e-10	1.4613355504939714e-10
-87.0849056603307	1.919425329358112e-10	1.6056659821139103e-10
